"id","technicianId","inspectedAt","createdAt","deviceId","gateId","taskId","inspectionStatus","deviceCode","deviceName","serialNumber","ipAddress","gateCluster","gateBuilding","gateZone","gateDirection","issueReason","notes"
"4595","51","""2026-07-27T13:09:17.659Z""","""2026-07-27T13:09:17.659Z""","1524","","","OK","1400","Morpho md","2124smp0000731","10.254.210.253","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4596","51","""2026-07-27T13:09:34.102Z""","""2026-07-27T13:09:34.102Z""","1525","","","OK","1401","Morpho md","2125smp0001025","10.254.210.252","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4597","51","""2026-07-27T13:09:58.955Z""","""2026-07-27T13:09:58.955Z""","1526","","","OK","1402","Morpho md","2125smp0001650","10.254.210.251","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4598","51","""2026-07-27T13:10:16.440Z""","""2026-07-27T13:10:16.440Z""","1527","","","OK","1403","Morpho md","2124smp0000298","10.254.210.250","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4599","51","""2026-07-27T13:10:39.693Z""","""2026-07-27T13:10:39.693Z""","1528","","","OK","1404","Morpho md","2124smp0000403","10.254.210.249","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4600","51","""2026-07-27T13:11:00.176Z""","""2026-07-27T13:11:00.176Z""","1529","","","OK","1405","Morpho md","2142smp0001417","10.254.210.248","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4601","51","""2026-07-27T13:11:46.478Z""","""2026-07-27T13:11:46.478Z""","1530","","","OK","1406","Morpho md","2142smp0001301","10.254.210.247","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4602","51","""2026-07-27T13:13:11.930Z""","""2026-07-27T13:13:11.930Z""","1538","","","OK","1414","Morpho md","2143smp0000022","10.254.210.5","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4603","51","""2026-07-27T13:13:47.222Z""","""2026-07-27T13:13:47.222Z""","1537","","","OK","1413","Morpho md","2125smp0000327","10.254.210.7","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4604","51","""2026-07-27T13:14:10.562Z""","""2026-07-27T13:14:10.562Z""","1536","","","OK","1412","Morpho md","2111smp0002159","10.254.210.9","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
