"inspectionId","technicianId","deviceId","deviceCode","deviceName","serialNumber","barcode","gateId","gateNo","glassId","taskId","taskAssignedToId","taskItemId","taskItemAssignedToId","taskItemCompletedById","inspectionStatus","inspectedAt","createdAt","updatedAt","locationText","issueReason","notes"
"4448","46","792","654","Morpho md","2142SMP0000627","654","","","","","","","","","OK","""2026-07-26T12:46:21.446Z""","""2026-07-26T12:46:21.446Z""","""2026-07-26T12:46:21.446Z""","Device code: 654","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4449","46","793","655","Morpho md","2142SMP0000283","655","","","","","","","","","OK","""2026-07-26T12:46:42.187Z""","""2026-07-26T12:46:42.187Z""","""2026-07-26T12:46:42.187Z""","Device code: 655","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4450","46","794","656","Morpho md","2147SMP0000851","656","","","","","","","","","OK","""2026-07-26T12:47:02.473Z""","""2026-07-26T12:47:02.473Z""","""2026-07-26T12:47:02.473Z""","Device code: 656","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4451","46","795","657","Morpho md","2143SMP0001225","657","","","","","","","","","OK","""2026-07-26T12:47:19.552Z""","""2026-07-26T12:47:19.552Z""","""2026-07-26T12:47:19.552Z""","Device code: 657","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4452","46","796","658","Morpho md","2143SMP0001324","658","","","","","","","","","OK","""2026-07-26T12:47:31.286Z""","""2026-07-26T12:47:31.286Z""","""2026-07-26T12:47:31.286Z""","Device code: 658","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4453","46","797","659","Morpho md","2142SMP0000719","659","","","","","","","","","OK","""2026-07-26T12:47:48.083Z""","""2026-07-26T12:47:48.083Z""","""2026-07-26T12:47:48.083Z""","Device code: 659","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4454","46","798","660","Morpho md","2237SMP0001519","660","","","","","","","","","OK","""2026-07-26T12:48:10.383Z""","""2026-07-26T12:48:10.383Z""","""2026-07-26T12:48:10.383Z""","Device code: 660","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4455","46","1615","1494","Morpho md","2141smp0001951","1494","","","","","","","","","OK","""2026-07-26T12:53:32.256Z""","""2026-07-26T12:53:32.256Z""","""2026-07-26T12:53:32.256Z""","Device code: 1494","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4456","46","1616","1495","Morpho md","2142smp0001851","1495","","","","","","","","","OK","""2026-07-26T12:54:16.911Z""","""2026-07-26T12:54:16.911Z""","""2026-07-26T12:54:16.911Z""","Device code: 1495","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4457","46","1617","1496","Morpho md","2130smp0001391","1496","","","","","","","","","OK","""2026-07-26T12:55:02.798Z""","""2026-07-26T12:55:02.798Z""","""2026-07-26T12:55:02.798Z""","Device code: 1496","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4458","46","1618","1497","Morpho md","2142smp0000665","1497","","","","","","","","","OK","""2026-07-26T12:55:36.386Z""","""2026-07-26T12:55:36.386Z""","""2026-07-26T12:55:36.386Z""","Device code: 1497","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4459","46","1619","1498","Morpho md","2142smp0000269","1498","","","","","","","","","OK","""2026-07-26T12:56:11.775Z""","""2026-07-26T12:56:11.775Z""","""2026-07-26T12:56:11.775Z""","Device code: 1498","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4460","46","1620","1499","Morpho md","2136smp0001654","1499","","","","","","","","","OK","""2026-07-26T12:56:52.073Z""","""2026-07-26T12:56:52.073Z""","""2026-07-26T12:56:52.073Z""","Device code: 1499","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4461","46","1621","1500","Morpho md","2136smp0000413","1500","","","","","","","","","OK","""2026-07-26T12:57:51.693Z""","""2026-07-26T12:57:51.693Z""","""2026-07-26T12:57:51.693Z""","Device code: 1500","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
